DEPARTAMENTO,PROVINCIA,MUNICIPIO,CODIGO,COD_INE,Captura.ca,Riqueza.es,Abu.rrhh,Ap.suelo,Minero,Piscicol,Turismo,Agro.inten,Agro.exten,Agrosilvo,Ap.fores,Uso.limit,R.actv.prd,Acc.agua,Acc.salud,Acc.edu,Acc.vivien,Acc.EE,Clasifica,porc_i.CSV,latitude,longitude,area_km2,area_ha
Santa Cruz,Ñuflo De Chavez,San Antonio de Lomerio,"071104",71104,"13","52","12","63","15","0","0","6","14","5","14","22","0","43","34","37","29","44",Bajo,"28",-16.80635,-61.87415,2387.51,238751.14
Santa Cruz,Ñuflo De Chavez,San Ramón,"071105",71105,"14","49","12","65","6","72","9","0","12","1","16","0","7","43","35","38","30","46",Medio,"35",-16.57691,-62.43457,504.06,50406.44
Santa Cruz,Ñuflo De Chavez,Concepción,"071101",71101,"27","61","18","74","34","70","9","1","1","46","9","31","0","42","33","37","30","43",Muy Alto,"52",-15.29845,-62.11212,29144.91,2914491.49
Santa Cruz,Ñuflo De Chavez,Cuatro Cañadas,"071106",71106,"13","60","13","71","13","70","51","0","0","0","10","0","42","43","36","37","27","42",Alto,"47",-17.23741,-62.24274,4458.99,445898.82
La Paz,Larecaja,Mapiri,"020607",20607,"20","58","15","63","50","28","10","17","4","45","12","0","17","41","31","38","34","44",Alto,"47",-15.38005,-68.25775,1500.14,150013.99
La Paz,Larecaja,Guanay,"020602",20602,"26","59","54","72","52","54","10","0","0","0","9","0","17","45","36","39","29","46",Alto,"45",-15.73616,-68.04227,3612.35,361235.11
La Paz,Larecaja,Teoponte,"020608",20608,"16","45","10","62","46","65","51","0","4","0","10","0","17","44","31","37","30","45",Alto,"48",-15.40745,-67.68723,1378.78,137878.02
La Paz,Sur Yungas,Palos Blancos,"021104",21104,"19","56","14","64","17","65","51","22","3","33","16","0","14","44","32","37","28","45",Muy Alto,"56",-15.41772,-67.23158,3734.93,373493.05
La Paz,Ingavi,San Andrés de Machaca,"020805",20805,"6","53","18","62","15","66","52","1","3","1","3","0","0","43","32","38","33","44",Alto,"43",-16.89975,-69.04351,1535.23,153523.48
La Paz,Ingavi,Jesús de Machaca,"020806",20806,"10","59","25","61","30","66","21","8","1","2","3","0","11","45","37","37","24","43",Alto,"42",-16.76069,-68.73998,992.47,99247.28
La Paz,Ingavi,Viacha,"020801",20801,"3","40","16","58","12","42","0","15","3","29","2","0","11","41","39","38","31","41",Medio,"34",-16.73386,-68.31066,848.95,84894.81
Oruro,Cercado,Oruro,"040101",40101,"5","56","15","58","18","58","16","78","13","22","3","0","12","45","25","33","22","40",Muy Alto,"55",-17.95998,-67.09149,259.10,25909.98
Oruro,Cercado,Caracollo,"040102",40102,"6","64","28","52","55","58","52","0","0","3","3","0","7","44","36","37","24","44",Muy Alto,"49",-17.69143,-67.29224,2374.18,237418.01
Oruro,Cercado,Paria,"040104",40104,"5","55","21","62","41","37","0","0","4","1","1","0","7","44","35","38","29","45",Bajo,"32",-17.85719,-66.93596,1461.85,146184.62
Santa Cruz,Ichilo,San Juan,"070404",70404,"17","51","17","70","6","70","51","0","0","10","19","0","25","43","31","35","22","44",Alto,"47",-16.86135,-63.99866,1586.51,158650.50
Santa Cruz,Ichilo,San Carlos,"070402",70402,"15","52","12","71","7","65","11","0","4","2","17","21","40","43","36","38","30","45",Medio,"39",-17.29073,-63.75360,1217.26,121726.47
Santa Cruz,German Busch,El Carmen Rivero Torrez,"071403",71403,"19","60","17","71","22","30","10","6","0","24","10","22","16","41","35","38","29","46",Medio,"40",-18.45548,-58.58637,10684.84,1068484.43
Santa Cruz,German Busch,Puerto Suárez,"071401",71401,"10","54","13","70","7","65","0","60","2","0","9","31","14","41","36","38","29","46",Alto,"48",-19.07139,-58.25661,13409.39,1340938.88
La Paz,Manco Kapac,San Pedro de Tiquina,"021702",21702,"5","50","12","57","6","58","0","0","5","5","2","0","0","35","33","33","30","35",Bajo,"27",-16.23188,-68.86567,62.28,6228.45
La Paz,Ingavi,Taraco,"020807",20807,"4","45","10","56","5","42","0","39","2","51","3","0","0","44","29","34","29","36",Medio,"40",-16.46233,-68.85349,114.71,11470.86
La Paz,Ingavi,Tiawanacu,"020803",20803,"7","45","16","54","14","42","0","3","16","0","3","0","11","42","31","34","28","36",Bajo,"28",-16.55876,-68.69574,352.58,35257.90
Potosi,Daniel Campos,Tahua,"051402",51402,"4","45","13","65","24","0","53","8","1","32","1","0","6","43","29","35","28","40",Medio,"40",-20.28739,-67.94375,1304.69,130469.09
La Paz,Manco Kapac,Copacabana,"021701",21701,"12","61","31","58","13","64","26","28","7","1","1","0","0","40","38","36","30","36",Alto,"45",-16.13648,-69.06415,177.60,17759.74
La Paz,Omasuyos,Huarina,"020204",20204,"6","59","26","54","20","29","10","44","5","26","2","0","0","42","36","39","42","36",Alto,"44",-16.16517,-68.59328,182.07,18207.35
Potosi,Jose Maria Linares,Ckochas,"051103",51103,"6","62","13","55","47","33","11","68","3","3","4","0","11","41","33","37","28","44",Alto,"48",-19.74211,-65.02217,2088.85,208885.03
La Paz,Caranavi,Alto Beni,"022002",22002,"30","69","22","67","43","53","9","19","19","0","10","0","17","45","35","38","29","43",Alto,"47",-15.60553,-67.38953,1045.31,104530.72
Cochabamba,Tiraque,Shinahota,"031602",31602,"15","46","22","60","6","37","52","71","4","3","18","0","14","44","30","37","29","44",Muy Alto,"54",-17.05930,-65.31855,737.91,73791.03
Chuquisaca,Nor Cinti,Villa Charcas,"010704",10704,"5","40","7","64","4","44","23","1","1","16","7","0","14","42","32","35","23","45",Bajo,"32",-20.57217,-64.82078,688.56,68856.46
Potosi,Rafael Bustillo,Chuquihuta,"050204",50204,"4","62","13","61","54","0","12","7","22","1","1","0","0","42","33","37","29","45",Medio,"34",-18.63230,-66.35341,262.24,26223.74
La Paz,Camacho,Humanata,"020404",20404,"4","59","26","55","20","54","0","2","28","2","3","0","0","41","40","37","31","35",Medio,"35",-15.41442,-69.17083,289.49,28949.40
La Paz,Omasuyos,Huatajata,"020206",20206,"4","59","26","54","20","29","0","21","6","1","1","0","0","36","17","29","35","28",Bajo,"30",-16.19795,-68.69065,19.54,1954.34
La Paz,Omasuyos,Chua Cocani,"020203",20203,"4","62","34","50","14","29","0","5","24","5","3","0","0","30","35","34","29","40",Bajo,"32",-16.15833,-68.75176,81.21,8120.81
La Paz,Omasuyos,Santiago de Huata,"020205",20205,"5","48","17","56","6","54","0","0","0","0","2","0","0","42","29","35","32","36",Bajo,"26",-16.08626,-68.83508,93.46,9345.74
Cochabamba,Ayopaya,Cocapata,"030303",30303,"26","62","39","71","47","66","18","10","0","0","16","0","16","41","36","37","28","44",Muy Alto,"49",-16.48908,-66.55221,7120.56,712055.76
La Paz,Camacho,Escoma,"020405",20405,"5","60","28","53","21","29","0","8","47","1","2","0","0","43","37","36","29","35",Medio,"35",-15.63821,-69.14921,121.22,12122.25
