DEPARTAMENTO,PROVINCIA,MUNICIPIO,CODIGO,COD_INE,Captura.ca,Riqueza.es,Abu.rrhh,Ap.suelo,Minero,Piscicol,Turismo,Agro.inten,Agro.exten,Agrosilvo,Ap.fores,Uso.limit,R.actv.prd,Acc.agua,Acc.salud,Acc.edu,Acc.vivien,Acc.EE,Clasifica,porc_i.CSV,latitude,longitude,area_km2,area_ha
Chuquisaca,Oropeza,Sucre,"010101",10101,"6","45","8","56","5","0","27","2","2","8","3","0","12","42","34","37","28","46",Bajo,"26",-18.93771,-65.25048,1680.83,168083.21
Cochabamba,Mizque,Mizque,"031301",31301,"9","58","18","64","50","37","52","6","5","17","4","0","10","42","36","38","29","46",Muy Alto,"50",-18.05596,-65.41973,1879.61,187960.75
Chuquisaca,Zudañez,Mojocoya,"010303",10303,"9","57","7","57","9","0","0","0","0","0","1","0","11","41","31","34","25","39",Bajo,"19",-18.78028,-64.64417,1239.34,123933.70
Santa Cruz,Cordillera,Gutiérrez,"070705",70705,"21","59","7","68","11","65","11","2","0","0","8","0","25","44","29","37","29","44",Medio,"35",-19.39600,-63.50171,2870.59,287059.42
La Paz,Camacho,Puerto Acosta,"020401",20401,"6","54","20","56","15","54","0","1","8","1","4","0","0","45","34","39","34","44",Bajo,"30",-15.55517,-69.21574,352.24,35224.13
Oruro,Sajama,Turco,"040402",40402,"4","42","26","65","4","36","0","63","3","34","1","0","11","44","28","36","35","36",Alto,"44",-18.33706,-68.53024,4722.70,472269.69
Cochabamba,Carrasco,Totora,"031201",31201,"15","43","16","74","13","38","52","0","2","1","11","0","13","42","33","37","31","42",Medio,"40",-17.58634,-65.14433,2135.75,213575.50
La Paz,Camacho,Mocomoco,"020402",20402,"10","57","33","60","18","54","0","0","0","1","1","9","0","43","34","39","33","44",Bajo,"33",-15.44999,-69.03577,653.18,65317.99
La Paz,Ingavi,Desaguadero,"020804",20804,"5","60","29","57","13","66","0","29","5","6","2","0","11","32","33","31","31","28",Medio,"39",-16.61420,-68.97812,103.95,10395.44
Tarija,Avilez,Yunchara,"060402",60402,"4","33","11","54","3","65","72","11","8","1","7","0","9","42","34","37","25","45",Alto,"46",-21.79029,-65.16283,1846.61,184660.97
Tarija,Arce,Bermejo,"060202",60202,"26","66","21","57","16","70","0","3","0","0","13","0","14","44","23","33","22","44",Medio,"36",-22.67315,-64.32941,390.05,39004.99
Pando,Madre De Dios,Exaltación,"090302",90302,"26","59","16","54","21","72","9","0","2","6","19","6","9","57","35","42","31","43",Medio,"40",-11.59624,-66.82115,3161.54,316153.93
Pando,Madre De Dios,Agua Dulce,"090301",90301,"32","70","22","62","18","72","0","89","18","52","16","0","13","42","22","32","19","47",Muy Alto,"67",-11.16712,-66.32510,1268.12,126812.09
Beni,Cercado,Trinidad,"080101",80101,"15","42","10","61","4","70","9","2","5","43","14","41","9","43","30","35","28","40",Alto,"45",-14.83497,-64.65733,1895.29,189528.92
Beni,Vaca Diez,Riveralta,"080201",80201,"19","54","13","57","7","72","0","12","16","3","15","0","10","42","37","38","28","45",Medio,"37",-11.52788,-66.10081,12797.73,1279773.00
